Date;Place;Temp;Wind
2021-11-28 18:00:00;Minsk;-0.14;2.93
2021-11-28 21:00:00;Minsk;0.19;3.21
2021-11-29 00:00:00;Minsk;0.91;5.96
2021-11-29 03:00:00;Minsk;1.65;4.19
2021-11-29 06:00:00;Minsk;2.27;3.75
2021-11-29 09:00:00;Minsk;2.73;4.32
2021-11-29 12:00:00;Minsk;4.14;4.59
2021-11-29 15:00:00;Minsk;4.54;3.14
2021-11-29 18:00:00;Minsk;4.72;1.72
2021-11-29 21:00:00;Minsk;3.75;4.16
2021-11-30 00:00:00;Minsk;2.32;5.79
2021-11-30 03:00:00;Minsk;1.36;7
2021-11-30 06:00:00;Minsk;0.53;7.55
2021-11-30 09:00:00;Minsk;-1.75;8.08
2021-11-30 12:00:00;Minsk;-0.68;9.09
2021-11-30 15:00:00;Minsk;-0.56;9.45
2021-11-30 18:00:00;Minsk;-1.32;7.49
2021-11-30 21:00:00;Minsk;-2.01;6.27
2021-12-01 00:00:00;Minsk;-2.79;4.8
2021-12-01 03:00:00;Minsk;-1.92;2.62
2021-12-01 06:00:00;Minsk;-2.04;2.25
2021-12-01 09:00:00;Minsk;-3.24;3.21
2021-12-01 12:00:00;Minsk;-2.24;3.52
2021-12-01 15:00:00;Minsk;-1.8;3.32
2021-12-01 18:00:00;Minsk;-2.84;2.4
2021-12-01 21:00:00;Minsk;-2.24;3.54
2021-12-02 00:00:00;Minsk;-2.03;5.97
2021-12-02 03:00:00;Minsk;0.21;6.44
2021-12-02 06:00:00;Minsk;2.43;7.5
2021-12-02 09:00:00;Minsk;2.94;8.19
2021-12-02 12:00:00;Minsk;3.05;8.32
2021-12-02 15:00:00;Minsk;3.44;8.6
2021-12-02 18:00:00;Minsk;2.82;7.02
2021-12-02 21:00:00;Minsk;2.06;5.45
2021-12-03 00:00:00;Minsk;1.86;4.41
2021-12-03 03:00:00;Minsk;0.24;2.72
2021-12-03 06:00:00;Minsk;0.98;3.26
2021-12-03 09:00:00;Minsk;1.25;2.94
2021-12-03 12:00:00;Minsk;1.42;3.01
2021-12-03 15:00:00;Minsk;0.63;4.28
2021-11-28 18:00:00;Moscow;2.57;3.07
2021-11-28 21:00:00;Moscow;1.84;2.5
2021-11-29 00:00:00;Moscow;0.91;1.54
2021-11-29 03:00:00;Moscow;0.16;2.04
2021-11-29 06:00:00;Moscow;1.02;2.98
2021-11-29 09:00:00;Moscow;2.12;3.68
2021-11-29 12:00:00;Moscow;3.06;3.79
2021-11-29 15:00:00;Moscow;3.18;3.61
2021-11-29 18:00:00;Moscow;2.94;3.4
2021-11-29 21:00:00;Moscow;2.63;3.83
2021-11-30 00:00:00;Moscow;2.39;4.5
2021-11-30 03:00:00;Moscow;2.28;4.53
2021-11-30 06:00:00;Moscow;2.84;5.26
2021-11-30 09:00:00;Moscow;2.69;4.21
2021-11-30 12:00:00;Moscow;1.36;4.72
2021-11-30 15:00:00;Moscow;0.91;6.32
2021-11-30 18:00:00;Moscow;2.13;7.1
2021-11-30 21:00:00;Moscow;-0.45;7.95
2021-12-01 00:00:00;Moscow;-1.39;7.07
2021-12-01 03:00:00;Moscow;-2.62;6.52
2021-12-01 06:00:00;Moscow;-2.88;6.36
2021-12-01 09:00:00;Moscow;-2.93;5.01
2021-12-01 12:00:00;Moscow;-3.04;4.58
2021-12-01 15:00:00;Moscow;-3.57;4.52
2021-12-01 18:00:00;Moscow;-4.32;4.72
2021-12-01 21:00:00;Moscow;-5.3;4.96
2021-12-02 00:00:00;Moscow;-7.6;4.19
2021-12-02 03:00:00;Moscow;-8.63;3.06
2021-12-02 06:00:00;Moscow;-9.08;2.63
2021-12-02 09:00:00;Moscow;-8.09;2.62
2021-12-02 12:00:00;Moscow;-4.45;4.13
2021-12-02 15:00:00;Moscow;-1.87;4.57
2021-12-02 18:00:00;Moscow;0.83;4.91
2021-12-02 21:00:00;Moscow;1.53;5.34
2021-12-03 00:00:00;Moscow;1.82;5.78
2021-12-03 03:00:00;Moscow;2;6.05
2021-12-03 06:00:00;Moscow;1.81;5.11
2021-12-03 09:00:00;Moscow;1.05;4.92
2021-12-03 12:00:00;Moscow;1.24;3.32
2021-12-03 15:00:00;Moscow;0.16;2.38
2021-11-28 18:00:00;London;3.99;3.9
2021-11-28 21:00:00;London;3.69;3.16
2021-11-29 00:00:00;London;2.63;3.64
2021-11-29 03:00:00;London;1.26;3.59
2021-11-29 06:00:00;London;0.93;3.43
2021-11-29 09:00:00;London;1.06;3.04
2021-11-29 12:00:00;London;1.53;2.4
2021-11-29 15:00:00;London;3.84;2.85
2021-11-29 18:00:00;London;3.96;2.34
2021-11-29 21:00:00;London;2.28;2.6
2021-11-30 00:00:00;London;2.59;3.5
2021-11-30 03:00:00;London;4.17;4.32
2021-11-30 06:00:00;London;5.4;4.49
2021-11-30 09:00:00;London;6.68;4.89
2021-11-30 12:00:00;London;7.73;4.73
2021-11-30 15:00:00;London;9.37;5.09
2021-11-30 18:00:00;London;10.8;5.54
2021-11-30 21:00:00;London;10.68;5.95
2021-12-01 00:00:00;London;10.61;7.51
2021-12-01 03:00:00;London;10.77;8.63
2021-12-01 06:00:00;London;10.39;6.88
2021-12-01 09:00:00;London;8.62;6.25
2021-12-01 12:00:00;London;7.99;5.98
2021-12-01 15:00:00;London;8.73;6.5
2021-12-01 18:00:00;London;7.81;5.88
2021-12-01 21:00:00;London;6.09;4.99
2021-12-02 00:00:00;London;4.8;4.43
2021-12-02 03:00:00;London;3.45;5.34
2021-12-02 06:00:00;London;3.34;4.95
2021-12-02 09:00:00;London;1.99;5.36
2021-12-02 12:00:00;London;2;5.22
2021-12-02 15:00:00;London;4.29;5.38
2021-12-02 18:00:00;London;4.2;4.62
2021-12-02 21:00:00;London;3.33;3.74
2021-12-03 00:00:00;London;2.87;3.11
2021-12-03 03:00:00;London;3.01;2.84
2021-12-03 06:00:00;London;2.57;2.59
2021-12-03 09:00:00;London;2.49;2.64
2021-12-03 12:00:00;London;2.89;2.73
2021-12-03 15:00:00;London;3.48;2.36
2021-11-28 18:00:00;Paris;4.99;6.42
2021-11-28 21:00:00;Paris;4.89;5.89
2021-11-29 00:00:00;Paris;4.53;4.73
2021-11-29 03:00:00;Paris;3.12;3.65
2021-11-29 06:00:00;Paris;2.56;3.04
2021-11-29 09:00:00;Paris;2.73;3.53
2021-11-29 12:00:00;Paris;2.98;2.92
2021-11-29 15:00:00;Paris;5.28;2.79
2021-11-29 18:00:00;Paris;6.13;3.23
2021-11-29 21:00:00;Paris;4.24;2.6
2021-11-30 00:00:00;Paris;3.26;2.53
2021-11-30 03:00:00;Paris;2.48;2.71
2021-11-30 06:00:00;Paris;2.24;3.26
2021-11-30 09:00:00;Paris;3.27;3.91
2021-11-30 12:00:00;Paris;4.76;4.95
2021-11-30 15:00:00;Paris;6.17;5.6
2021-11-30 18:00:00;Paris;7.12;5.78
2021-11-30 21:00:00;Paris;7.7;6.18
2021-12-01 00:00:00;Paris;7.76;6.22
2021-12-01 03:00:00;Paris;7.73;7.05
2021-12-01 06:00:00;Paris;6.93;6.87
2021-12-01 09:00:00;Paris;6.77;7.59
2021-12-01 12:00:00;Paris;7.48;6.87
2021-12-01 15:00:00;Paris;8.88;4.09
2021-12-01 18:00:00;Paris;9.37;4.73
2021-12-01 21:00:00;Paris;7.43;4.34
2021-12-02 00:00:00;Paris;6.24;4.24
2021-12-02 03:00:00;Paris;5.98;2.94
2021-12-02 06:00:00;Paris;4.74;2.25
2021-12-02 09:00:00;Paris;3.87;3
2021-12-02 12:00:00;Paris;3.87;4.81
2021-12-02 15:00:00;Paris;5.17;6.05
2021-12-02 18:00:00;Paris;4.77;4.84
2021-12-02 21:00:00;Paris;3.68;3.67
2021-12-03 00:00:00;Paris;2.91;3
2021-12-03 03:00:00;Paris;2.59;2.78
2021-12-03 06:00:00;Paris;2.74;3.99
2021-12-03 09:00:00;Paris;2.69;3.03
2021-12-03 12:00:00;Paris;3.05;2.95
2021-12-03 15:00:00;Paris;4.53;2.66
2021-11-28 18:00:00;Kyiv;5.28;3.99
2021-11-28 21:00:00;Kyiv;6.01;4.33
2021-11-29 00:00:00;Kyiv;7.39;4.28
2021-11-29 03:00:00;Kyiv;8.6;4.67
2021-11-29 06:00:00;Kyiv;8.12;5.45
2021-11-29 09:00:00;Kyiv;8.06;4.41
2021-11-29 12:00:00;Kyiv;9.08;4.27
2021-11-29 15:00:00;Kyiv;9.53;3.01
2021-11-29 18:00:00;Kyiv;8.78;1.44
2021-11-29 21:00:00;Kyiv;8.44;3.55
2021-11-30 00:00:00;Kyiv;2.09;9.83
2021-11-30 03:00:00;Kyiv;2.56;9.44
2021-11-30 06:00:00;Kyiv;2.49;9.46
2021-11-30 09:00:00;Kyiv;2.33;8.9
2021-11-30 12:00:00;Kyiv;2.39;8.26
2021-11-30 15:00:00;Kyiv;3.08;8.2
2021-11-30 18:00:00;Kyiv;2.13;6.87
2021-11-30 21:00:00;Kyiv;0.14;6.12
2021-12-01 00:00:00;Kyiv;-0.76;5.7
2021-12-01 03:00:00;Kyiv;-0.41;4.54
2021-12-01 06:00:00;Kyiv;-0.87;5.18
2021-12-01 09:00:00;Kyiv;0.09;5.87
2021-12-01 12:00:00;Kyiv;1.58;5.94
2021-12-01 15:00:00;Kyiv;1.9;5.1
2021-12-01 18:00:00;Kyiv;1.26;3.04
2021-12-01 21:00:00;Kyiv;1.36;3.13
2021-12-02 00:00:00;Kyiv;1.67;4.28
2021-12-02 03:00:00;Kyiv;2.17;6.27
2021-12-02 06:00:00;Kyiv;4.02;5.98
2021-12-02 09:00:00;Kyiv;3.89;5.43
2021-12-02 12:00:00;Kyiv;5.6;5.39
2021-12-02 15:00:00;Kyiv;6.52;5.02
2021-12-02 18:00:00;Kyiv;5.07;3.63
2021-12-02 21:00:00;Kyiv;4.38;3.66
2021-12-03 00:00:00;Kyiv;4.05;3.09
2021-12-03 03:00:00;Kyiv;4.11;3.9
2021-12-03 06:00:00;Kyiv;3.41;4.38
2021-12-03 09:00:00;Kyiv;3.4;5.76
2021-12-03 12:00:00;Kyiv;5.32;3.83
2021-12-03 15:00:00;Kyiv;6.22;3.03
2021-11-28 18:00:00;Oslo;-3.81;3.04
2021-11-28 21:00:00;Oslo;-3.33;2.31
2021-11-29 00:00:00;Oslo;-2.96;1.87
2021-11-29 03:00:00;Oslo;-2.6;1.53
2021-11-29 06:00:00;Oslo;-2.98;1.39
2021-11-29 09:00:00;Oslo;-3.79;1.18
2021-11-29 12:00:00;Oslo;-3.83;1.12
2021-11-29 15:00:00;Oslo;-2.7;0.39
2021-11-29 18:00:00;Oslo;-3.62;0.55
2021-11-29 21:00:00;Oslo;-4.54;0.6
2021-11-30 00:00:00;Oslo;-4.69;0.73
2021-11-30 03:00:00;Oslo;-4.45;1.01
2021-11-30 06:00:00;Oslo;-3.97;1.4
2021-11-30 09:00:00;Oslo;-3.87;2.26
2021-11-30 12:00:00;Oslo;-3.64;2.33
2021-11-30 15:00:00;Oslo;-3.24;2.37
2021-11-30 18:00:00;Oslo;-6.59;1.5
2021-11-30 21:00:00;Oslo;-6.93;1.06
2021-12-01 00:00:00;Oslo;-7.07;0.69
2021-12-01 03:00:00;Oslo;-7.32;0.48
2021-12-01 06:00:00;Oslo;-5.67;0.64
2021-12-01 09:00:00;Oslo;-5.6;1.21
2021-12-01 12:00:00;Oslo;-5.42;1.49
2021-12-01 15:00:00;Oslo;-4.25;1.79
2021-12-01 18:00:00;Oslo;-5.87;1.81
2021-12-01 21:00:00;Oslo;-5.57;1.28
2021-12-02 00:00:00;Oslo;-5.46;1.28
2021-12-02 03:00:00;Oslo;-6.63;1.23
2021-12-02 06:00:00;Oslo;-8.03;1.18
2021-12-02 09:00:00;Oslo;-8.7;0.91
2021-12-02 12:00:00;Oslo;-8.01;0.72
2021-12-02 15:00:00;Oslo;-5.13;0.39
2021-12-02 18:00:00;Oslo;-8.56;0.79
2021-12-02 21:00:00;Oslo;-8.83;1.49
2021-12-03 00:00:00;Oslo;-8.25;1.4
